sample_bucket,localization_key,source_score,discovery_reasons,signal_languages,strong_preserved_tokens,very_strong_content_ratio,strong_content_ratio,English_display,English_reference
TOP,stal_stalker_ty_ses_prost_MED0,244,dense_two_very_strong_preserved_tokens; signal_support,hungarian,egészen; más; vagy; rendszerint; csak; kedvem; töltöm; asszonyi; állattal; már; megyek; tovább; téged; meg; akarlak; ismerni; hát; nem; érted,1.000,1.000,"Te egészen más vagy. Rendszerint csak kedvem töltöm az asszonyi állattal és már megyek is tovább, de téged meg akarlak ismerni. Hát nem érted?","Te egészen más vagy. Rendszerint csak kedvem töltöm az asszonyi állattal és már megyek is tovább, de téged meg akarlak ismerni. Hát nem érted?"
TOP,ulri_event_tab_gut_gut_es_bBId,227,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support,german,gut; ist; nicht; wichtig; doch; wir; sassen; auf; einem; stein; und; schlugen; ein; bein; über; das; andre,1.000,1.000,"Gut, gut, es ist nicht wichtig, doch wir saßen auf einem Stein, und schlugen ein Bein über das andre Bein …","Gut, gut, es ist nicht wichtig, doch Wir saß auf einem Felsenstein, und schlug ein Bein über das andre Bein..."
TOP,goss_lapka_mlu_protoze_sm_OOZq,220,dense_two_very_strong_preserved_tokens; signal_support,hungarian,mert; mindig; büdös; vagy; tök; mindegy; hogy; mit; zabálsz; szerezz; valami; más; kaját; akkor; majd; jobb; lesz,1.000,1.000,"Mert te mindig büdös vagy, tök mindegy, hogy mit zabálsz. Szerezz valami más kaját és akkor majd jobb lesz.","Mert te mindig büdös vagy, tök mindegy, hogy mit zabálsz. Szerezz valami más kaját és akkor majd jobb lesz."
TOP,ulri_event_tab_du_weit_wi_VziM,217,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support,german; hungarian,weisst; wie; man; kämpft; doch; mit; gedichten; gewinnt; das; herz; einer; frau; leichter; als; einem; schwert,1.000,1.000,"Du weißt, wie man kämpft. Doch mit Gedichten gewinnt man das Herz einer Frau leichter als mit einem Schwert!",Du weißt wie man kämpf. Doch mit Gedichten gewinnt man das Herz einer Frau leichter als mit einem Schwert!
TOP,lore_event_tab_ja_ja_das__EplN,215,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support,german,das; ist; eine; schwere; zeit; zoll; gebühren; schmiergelder; dieses; land; beschissen; aber; kann; man; nicht; verstehen,1.000,1.000,"Ja, ja, das ist eine schwere Zeit. Zoll, Gebühren, Schmiergelder, dieses Land ist beschissen, aber das kann man nicht verstehen.","Ja, ja, das ist eine schwere Zeit. Pflichten, Gebühren, Schmiergelder, dieses Land ist beschissen, aber das kann man nicht verstehen."
TOP,goss_gossip_ha_drbu_se_s__mP5H,213,dense_two_very_strong_preserved_tokens; english_reference_differs,,use; scratch; arse; d'you; think; anyways; paid; three; times; more; than; last; year; mind; fucking; radge,1.000,1.000,"I use them to scratch my arse, what d'you think? Anyways, I paid three times more than last year, mind. Fucking radge!","I use them to scratch my arse, what d'you think? Anyway… I'll tell you, I paid three times more than last year."
TOP,goss_lapka_mlu_tak_ve_vod_DrV2,208,dense_two_very_strong_preserved_tokens; signal_support,hungarian,bokáig; érő; vízben; nem; lehet; megfulladni; meg; különben; nekünk; régen; volt; otthon; disznónk; amikor; kicsi; voltam,1.000,1.000,"Bokáig érő vízben nem lehet megfulladni. Meg különben is, nekünk régen volt otthon disznónk, amikor kicsi voltam.","Bokáig érő vízben nem lehet megfulladni. Meg különben is, nekünk régen volt otthon disznónk, amikor kicsi voltam."
TOP,ulri_event_tab_gott_zum_g_D7ro,198,dense_two_very_strong_preserved_tokens; signal_support,german,gott; zum; grusse; mein; freund; ulrich; von; remold; ein; dichter; und; pilger; land; der; narren,1.000,1.000,"Gott zum Gruße, mein Freund! Ulrich von Remold, ein Dichter und ein Pilger im Land der Narren.","Gott zum Gruße, mein Freund! Ulrich von Remold, ein dichter und ein Pilger im Land der Narren."
TOP,sam__rabin_ted_se_asi_puj_pNIk,198,dense_two_very_strong_preserved_tokens; signal_support,yiddish_hebrew,ha-shem; hot; nisht; unts; haytn; geshtroft; ba-avonouseynu; ha-rabim; andersh; voltn; mir; fun; dem; shtot; antrinen,1.000,1.000,"Ha-shem hot nisht unts haytn geshtroft, ba-avonouseynu ha-rabim. Andersh voltn mir nisht fun dem shtot antrinen.","Ha-shem hot nisht unts haytn geshtroft, ba-avonouseynu ha-rabim. Andersh voltn mir nisht fun dem shtot antrinen."
TOP,menh_menhart_z_ja_gutes_s_a2uP,198,dense_two_very_strong_preserved_tokens; signal_support,german,gutes; schwerdt; frei; bin; ich; und; liebe; dich; herzinnig; als; wärst; mir; getraut; eine; braut,1.000,1.000,"Ja gutes Schwerdt frei bin ich, und liebe dich herzinnig, als wärst du mir getraut, als eine liebe Braut.","Ja gutes Schwerdt frei bin ich, und liebe dich herzinnig, als wärst du mir getraut, als eine liebe Braut."
